FewsId;par_oms;par_oms_nl;TaxonType;wns_code;wns_oms;wns_oms_ecolims;eenheid;eenheid_oms
AANTL[DIMSLS];Alopochen aegyptiacus;Nijlgans;VOGLS;HDSR5214;VOGLS_ALOOAEGY[DIMSLS][NVT][NT];Alopochen aegyptiacus[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Anas platyrhynchos;Wilde Eend;VOGLS;HDSR5215;VOGLS_ANASPLAT[DIMSLS][NVT][NT];Anas platyrhynchos[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Ardea cinerea;Blauwe Reiger;VOGLS;HDSR5216;VOGLS_ARDECINE[DIMSLS][NVT][NT];Ardea cinerea[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Aythya fuligula;Kuifeend;VOGLS;HDSR5217;VOGLS_AYTHFULI[DIMSLS][NVT][NT];Aythya fuligula[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Ciconia ciconia;Ooievaar;VOGLS;HDSR5218;VOGLS_CICOCICO[DIMSLS][NVT][NT];Ciconia ciconia[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Cygnus olor;Knobbelzwaan;VOGLS;HDSR5219;VOGLS_CYGNOLOR[DIMSLS][NVT][NT];Cygnus olor[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Fulica atra;Meerkoet;VOGLS;HDSR5220;VOGLS_FULIATRA[DIMSLS][NVT][NT];Fulica atra[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Gallinula chloropus;Waterhoen;VOGLS;HDSR5221;VOGLS_GALNCHLO[DIMSLS][NVT][NT];Gallinula chloropus[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Phalacrocorax carbo;Aalscholver;VOGLS;HDSR5222;VOGLS_PHLCCARB[DIMSLS][NVT][NT];Phalacrocorax carbo[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Podiceps cristatus;Fuut;VOGLS;HDSR5223;VOGLS_PODICRIS[DIMSLS][NVT][NT];Podiceps cristatus[DIMSLS][NVT][NT];DIMSLS;dimensieloos
WNS3378;som vluchtige organische halogeenverbindingen;;;WNS3378;sVOX[ug/l][Cl][OW];som vluchtige organische halogeenverbindingen[ug/l][Cl][OW];ug/l;microgram per liter
WNS3815;furalaxyl;;;WNS3815;furlxl[ug/l][NVT][OW];furalaxyl[ug/l][NVT][OW];ug/l;microgram per liter
WNS10409;som chlorofyl-a;;;WNS10409;sCHLFa4[ug/l][NVT][OW];som chlorofyl-a[ug/l][NVT][OW];ug/l;microgram per liter
WNS7911;trans-pyrifenox;;;WNS7911;tpyrfnx[ug/l][NVT][OW];trans-pyrifenox[ug/l][NVT][OW];ug/l;microgram per liter
WNS8391;oxasulfuron;;;WNS8391;Oasfrn[ug/l][NVT][OW];oxasulfuron[ug/l][NVT][OW];ug/l;microgram per liter
WNS1967;tributyltin (kation);;;WNS1967;TC4ySn[ug/l][NVT][OW];tributyltin (kation)[ug/l][NVT][OW];ug/l;microgram per liter
WNS2842;tricyclohexyltin (kation);;;WNS2842;TccC6ySn[ug/l][NVT][OW];tricyclohexyltin (kation)[ug/l][NVT][OW];ug/l;microgram per liter
WNS4454;tetrabutyltin;;;WNS4454;T4C4ySn[ug/l][NVT][OW];tetrabutyltin[ug/l][NVT][OW];ug/l;microgram per liter
WNS6937;monobutyltin (kation);;;WNS6937;MC4ySn[ug/l][NVT][OW];monobutyltin (kation)[ug/l][NVT][OW];ug/l;microgram per liter
WNS11455;monofenyltin (kation);;;WNS11455;MFySn[ug/l][NVT][OW];monofenyltin (kation)[ug/l][NVT][OW];ug/l;microgram per liter
WNS9253;chlorofyl-a;;;WNS9253;CHLFa[ug/l][blauwalg][OW];chlorofyl-a[ug/l][blauwalg][OW];ug/l;microgram per liter
