fewsid;Id;Code;Omschrijving;Groep;Titel;Begin geldigheid;Eind geldigheid
99;401;I11508.98;ISO 11508:1998 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
100;1033;I11731-2.08;NEN-EN-ISO 11731-2:2008 en;Norm vervallen;;8 augustus 2018 00:00:00;1 januari 2100 00:00:00
101;1032;I11731.17;NEN-EN-ISO 11731:2017 en;Norm water-biologisch;;8 augustus 2018 00:00:00;1 januari 2100 00:00:00
102;402;I11731.98;ISO 11731:1998 en;Norm vervallen;;8 augustus 2018 00:00:00;1 januari 2100 00:00:00
103;403;I11732.05;NEN-EN-ISO 11732:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
104;404;I11733.04;NEN-EN-ISO 11733:2004 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
105;405;I11734.98;NEN-EN-ISO 11734:1998 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
106;406;I11885.07;ISO 11885:2007 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
107;250;I11885.98;NEN-EN-ISO 11885:1998 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
108;408;I11905-1.98;NEN-EN-ISO 11905-1:1998 nl;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
109;409;I11923.97;ISO 11923:1997 en;Norm water-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
110;60;I11969.97;NEN-EN-ISO 11969:1997 nl;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
111;1010;I12010.14;NEN-EN-ISO 12010:2014 en;Norm water-chemisch;;12 september 2017 00:00:00;1 januari 2100 00:00:00
112;411;I12020.00;NEN-EN-ISO 12020:2000 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
113;1013;I12846.12;NEN-EN-ISO 12846:2012 en;Norm water-chemisch;;8 december 2017 00:00:00;1 januari 2100 00:00:00
